symbol,series,date1,prev_close,open,high,low,last_price,close,average_pr,tottrades,turnover,numtrades,delivery,volume,action,avgaction,avgdel,date,lottery
"INFY"," EQ"," 03-Mar-2021"," 1304.50"," 1319.20"," 1347.00"," 1308.00"," 1340.95"," 1343.55"," 1329.25"," 9056399"," 120382.23"," 189231"," 4897964"," 54.08",48,43,49.47,03/03/2021,T
"INFY"," EQ"," 02-Mar-2021"," 1267.00"," 1282.25"," 1310.00"," 1279.20"," 1308.60"," 1304.50"," 1294.56"," 10461434"," 135429.28"," 182506"," 6551888"," 62.63",57,43,49.25,03/02/2021,T
"INFY"," EQ"," 01-Mar-2021"," 1253.30"," 1263.30"," 1284.50"," 1259.00"," 1271.00"," 1267.00"," 1271.66"," 5756286"," 73200.37"," 133035"," 3344135"," 58.10",43,42,49.02,03/01/2021,T
"INFY"," EQ"," 26-Feb-2021"," 1274.55"," 1269.00"," 1274.30"," 1244.75"," 1252.00"," 1253.30"," 1256.57"," 15132388"," 190148.57"," 296665"," 9161967"," 60.55",51,42,48.87,02/26/2021,T
"INFY"," EQ"," 25-Feb-2021"," 1274.30"," 1288.45"," 1299.75"," 1272.00"," 1275.00"," 1274.55"," 1283.44"," 8788221"," 112791.33"," 215308"," 5860547"," 66.69",41,43,49.10,02/25/2021,F
"INFY"," EQ"," 24-Feb-2021"," 1266.35"," 1260.05"," 1276.60"," 1252.00"," 1272.70"," 1274.30"," 1265.24"," 4537258"," 57407.27"," 125315"," 2383948"," 52.54",36,43,48.88,02/24/2021,F
"INFY"," EQ"," 23-Feb-2021"," 1265.20"," 1271.15"," 1291.00"," 1257.55"," 1268.00"," 1266.35"," 1270.87"," 6612942"," 84041.82"," 237023"," 3539785"," 53.53",28,43,48.94,02/23/2021,F
"INFY"," EQ"," 22-Feb-2021"," 1291.30"," 1295.00"," 1308.55"," 1260.00"," 1264.15"," 1265.20"," 1282.74"," 7371303"," 94554.57"," 205288"," 3748207"," 50.85",36,44,48.60,02/22/2021,F
"INFY"," EQ"," 19-Feb-2021"," 1292.45"," 1296.10"," 1299.50"," 1276.80"," 1293.00"," 1291.30"," 1288.37"," 5389696"," 69439.25"," 129418"," 2864493"," 53.15",42,44,48.53,02/19/2021,F
"INFY"," EQ"," 18-Feb-2021"," 1281.30"," 1276.00"," 1306.00"," 1275.00"," 1289.35"," 1292.45"," 1291.86"," 6437551"," 83164.46"," 178755"," 3406927"," 52.92",36,44,48.48,02/18/2021,F
"INFY"," EQ"," 17-Feb-2021"," 1290.40"," 1290.40"," 1294.50"," 1275.00"," 1280.50"," 1281.30"," 1283.76"," 4575741"," 58741.34"," 142040"," 2084387"," 45.55",32,44,48.50,02/17/2021,F
